,Strikes,Net Cost,Max Profit,Max Loss,Cost-to-Profit Ratio,Contracts,strikes,contract_ratios
37,5057.30 - 5378.50 - 5957.30,2670101200.2,-810995600.200001,2670101200.2,Infinity,57880 : -90000 : 32120,"5057.3,5378.5,5957.3","57880,-90000,32120"
36,5057.30 - 5378.50 - 5657.30,1206404147.956,-310898547.9560007,1206404147.956,Infinity,27880 : -60000 : 32120,"5057.3,5378.5,5657.3","27880,-60000,32120"
12,4500.00 - 5378.50 - 5957.30,618696695.425,-110220895.42499995,618696695.425,Infinity,5788 : -14573 : 8785,"4500,5378.5,5957.3","5788,-14573,8785"
3,4500.00 - 4778.50 - 5957.30,427290265.425,-98994465.42500001,427290265.425,Infinity,11788 : -14573 : 2785,"4500,4778.5,5957.3","11788,-14573,2785"
5,4500.00 - 4778.50 - 6357.30,505616431.29,-65920631.29000002,505616431.29,Infinity,15788 : -18573 : 2785,"4500,4778.5,6357.3","15788,-18573,2785"
55,5957.30 - 6178.50 - 6357.30,194205162.962,-62369962.96200013,194205162.962,Infinity,5960 : -13333 : 7373,"5957.3,6178.5,6357.3","5960,-13333,7373"
27,4778.50 - 5378.50 - 5957.30,118939724.32497,-32119724.324970007,118939724.32497,Infinity,1447 : -2947 : 1500,"4778.5,5378.5,5957.3","1447,-2947,1500"
11,4500.00 - 5378.50 - 5657.30,276206471.0955,-31280671.095499992,276206471.0955,Infinity,2788 : -11573 : 8785,"4500,5378.5,5657.3","2788,-11573,8785"
0,4500.00 - 4778.50 - 5057.30,108028999.95,-30383199.950000003,108028999.95,Infinity,2788 : -5573 : 2785,"4500,4778.5,5057.3","2788,-5573,2785"
15,4500.00 - 5657.30 - 5957.30,374580683.565,-27390683.564999938,374580683.565,Infinity,3000 : -14573 : 11573,"4500,5657.3,5957.3","3000,-14573,11573"
2,4500.00 - 4778.50 - 5657.30,271129733.2955,-26383933.29549998,271129733.2955,Infinity,8788 : -11573 : 2785,"4500,4778.5,5657.3","8788,-11573,2785"
26,4778.50 - 5378.50 - 5657.30,53567460.142469995,-11747460.142469995,53567460.142469995,Infinity,697 : -2197 : 1500,"4778.5,5378.5,5657.3","697,-2197,1500"
4,4500.00 - 4778.50 - 6178.50,86691366.680234,-8711366.680234,86691366.680234,Infinity,2800 : -3357 : 557,"4500,4778.5,6178.5","2800,-3357,557"
30,4778.50 - 5657.30 - 5957.30,72548269.4175,-6638269.417499989,72548269.4175,Infinity,750 : -2947 : 2197,"4778.5,5657.3,5957.3","750,-2947,2197"
1,4500.00 - 4778.50 - 5378.50,38753938.56,-5333938.560000002,38753938.56,Infinity,1200 : -1757 : 557,"4500,4778.5,5378.5","1200,-1757,557"
40,5057.30 - 5657.30 - 5957.30,57227.88,2772.1200000000026,57227.88,20.644084671659215,1 : -3 : 2,"5057.3,5657.3,5957.3","1,-3,2"
28,4778.50 - 5378.50 - 6178.50,216893.09652599998,23106.90347400002,216893.09652599998,9.386506364647646,4 : -7 : 3,"4778.5,5378.5,6178.5","4,-7,3"
53,5657.30 - 5957.30 - 6357.30,28231.207199999993,91768.79280000001,28231.207199999993,0.3076340696943328,4 : -7 : 3,"5657.3,5957.3,6357.3","4,-7,3"
44,5057.30 - 5957.30 - 6357.30,106846.426,253153.574,106846.426,0.4220616928758036,4 : -13 : 9,"5057.3,5957.3,6357.3","4,-13,9"
42,5057.30 - 5657.30 - 6357.30,111037.254,308962.746,111037.254,0.3593871929141904,7 : -13 : 6,"5057.3,5657.3,6357.3","7,-13,6"
46,5378.50 - 5657.30 - 5957.30,20008630.785,901369.2150000148,20008630.785,22.198040993667252,750 : -1447 : 697,"5378.5,5657.3,5957.3","750,-1447,697"
23,4778.50 - 5057.30 - 5957.30,61330594.1825,1399405.8175000474,61330594.1825,43.8261678031776,2250 : -2947 : 697,"4778.5,5057.3,5957.3","2250,-2947,697"
29,4778.50 - 5378.50 - 6357.30,136145179.33496997,10674820.665030032,136145179.33496997,12.7538610349654,2447 : -3947 : 1500,"4778.5,5378.5,6357.3","2447,-3947,1500"
22,4778.50 - 5057.30 - 5657.30,29411203.8061,12408796.19390003,29411203.8061,2.3701899319257165,1500 : -2197 : 697,"4778.5,5057.3,5657.3","1500,-2197,697"
25,4778.50 - 5057.30 - 6357.30,71382833.32549995,19227166.674500108,71382833.32549995,3.7126028256763863,3250 : -3947 : 697,"4778.5,5057.3,6357.3","3250,-3947,697"
51,5378.50 - 6178.50 - 6357.30,16351897.76,19408102.240000002,16351897.76,0.8425294527920829,447 : -2447 : 2000,"5378.5,6178.5,6357.3","447,-2447,2000"
39,5057.30 - 5378.50 - 6357.30,3123672634.88,20232965.11999798,3123672634.88,154.38531210596543,97880 : -130000 : 32120,"5057.3,5378.5,6357.3","97880,-130000,32120"
35,4778.50 - 6178.50 - 6357.30,37155524.314969994,25424475.685030006,37155524.314969994,1.4614076913628256,447 : -3947 : 3500,"4778.5,6178.5,6357.3","447,-3947,3500"
13,4500.00 - 5378.50 - 6178.50,105494610.874634,35065389.125366,105494610.874634,3.00851105622895,1600 : -3357 : 1757,"4500,5378.5,6178.5","1600,-3357,1757"
48,5378.50 - 5657.30 - 6357.30,13049828.418,35740171.58200003,13049828.418,0.36513054751456026,1750 : -2447 : 697,"5378.5,5657.3,6357.3","1750,-2447,697"
20,4500.00 - 6178.50 - 6357.30,59801182.43,40237417.57,59801182.43,1.4862082618986525,596 : -6191 : 5595,"4500,6178.5,6357.3","596,-6191,5595"
50,5378.50 - 5957.30 - 6357.30,15625613.918,42254386.082000025,15625613.918,0.3697986260568667,1000 : -2447 : 1447,"5378.5,5957.3,6357.3","1000,-2447,1447"
34,4778.50 - 5957.30 - 6357.30,49320346.428,68559653.57200003,49320346.428,0.7193785828600304,1000 : -3947 : 2947,"4778.5,5957.3,6357.3","1000,-3947,2947"
38,5057.30 - 5378.50 - 6178.50,2492492669.60344,77107330.39655876,2492492669.60344,32.324976844415275,80000 : -112120 : 32120,"5057.3,5378.5,6178.5","80000,-112120,32120"
32,4778.50 - 5657.30 - 6357.30,63252842.06049998,90537157.93950005,63252842.06049998,0.6986395806986524,1750 : -3947 : 2197,"4778.5,5657.3,6357.3","1750,-3947,2197"
8,4500.00 - 5057.30 - 5957.30,350763753.565,150806246.43500018,350763753.565,2.325923241622386,9000 : -14573 : 5573,"4500,5057.3,5957.3","9000,-14573,5573"
54,5657.30 - 6178.50 - 6357.30,131385608.71,179249591.2899999,131385608.71,0.7329757784353165,5960 : -23333 : 17373,"5657.3,6178.5,6357.3","5960,-23333,17373"
7,4500.00 - 5057.30 - 5657.30,142085024.45989996,192294975.54010016,142085024.45989996,0.738890987977324,6000 : -11573 : 5573,"4500,5057.3,5657.3","6000,-11573,5573"
14,4500.00 - 5378.50 - 6357.30,665632195.29,194243604.71000004,665632195.29,3.4267907882154947,9788 : -18573 : 8785,"4500,5378.5,6357.3","9788,-18573,8785"
52,5657.30 - 5957.30 - 6178.50,26023447.41989997,195166552.58010003,26023447.41989997,0.1333396889777999,7373 : -17373 : 10000,"5657.3,5957.3,6178.5","7373,-17373,10000"
21,4778.50 - 5057.30 - 5378.50,668279453.3011994,227226146.69880116,668279453.3011994,2.941032372418985,32120 : -60000 : 27880,"4778.5,5057.3,5378.5","32120,-60000,27880"
19,4500.00 - 5957.30 - 6357.30,242293285.962,340626714.0380001,242293285.962,0.7113161592339757,4000 : -18573 : 14573,"4500,5957.3,6357.3","4000,-18573,14573"
45,5057.30 - 6178.50 - 6357.30,325083366.362,343151833.6379999,325083366.362,0.947345561046715,5960 : -43333 : 37373,"5057.3,6178.5,6357.3","5960,-43333,37373"
10,4500.00 - 5057.30 - 6357.30,369086389.962,355403610.0380002,369086389.962,1.0384992710753185,13000 : -18573 : 5573,"4500,5057.3,6357.3","13000,-18573,5573"
17,4500.00 - 5657.30 - 6357.30,315512653.962,494597346.0380001,315512653.962,0.6379182106200769,7000 : -18573 : 11573,"4500,5657.3,6357.3","7000,-18573,11573"
43,5057.30 - 5957.30 - 6178.50,118903498.97,544666501.03,118903498.97,0.21830514405630916,7373 : -37373 : 30000,"5057.3,5957.3,6178.5","7373,-37373,30000"
24,4778.50 - 5057.30 - 6178.50,2303701123.8177595,822204476.1822424,2303701123.8177595,2.8018591366889396,112120 : -140000 : 27880,"4778.5,5057.3,6178.5","112120,-140000,27880"
41,5057.30 - 5657.30 - 6178.50,193705997.35,848674002.65,193705997.35,0.22824547087002725,17373 : -37373 : 20000,"5057.3,5657.3,6178.5","17373,-37373,20000"
6,4500.00 - 5057.30 - 5378.50,837562168.4,952485431.6000007,837562168.4,0.8793438100077281,32120 : -87850 : 55730,"4500,5057.3,5378.5","32120,-87850,55730"
49,5378.50 - 5957.30 - 6178.50,195082054.57656005,1085223545.4234405,195082054.57656005,0.17976209178215122,22120 : -80000 : 57880,"5378.5,5957.3,6178.5","22120,-80000,57880"
47,5378.50 - 5657.30 - 6178.50,274538349.71656007,1178567250.2834408,274538349.71656007,0.23294245589340334,52120 : -80000 : 27880,"5378.5,5657.3,6178.5","52120,-80000,27880"
33,4778.50 - 5957.30 - 6178.50,784338502.4977603,1823167097.5022402,784338502.4977603,0.4302065913608868,22120 : -140000 : 117880,"4778.5,5957.3,6178.5","22120,-140000,117880"
18,4500.00 - 5957.30 - 6178.50,960811338.7082607,2262736261.29174,960811338.7082607,0.4246236537349507,22120 : -167850 : 145730,"4500,5957.3,6178.5","22120,-167850,145730"
31,4778.50 - 5657.30 - 6178.50,1524126042.9377594,3056179557.0622416,1524126042.9377594,0.4987030423051545,52120 : -140000 : 87880,"4778.5,5657.3,6178.5","52120,-140000,87880"
9,4500.00 - 5057.30 - 6178.50,2865605524.12826,3382842075.871742,2865605524.12826,0.8471000004899157,112120 : -167850 : 55730,"4500,5057.3,6178.5","112120,-167850,55730"
16,4500.00 - 5657.30 - 6178.50,1875492733.8482597,4156354866.151741,1875492733.8482597,0.4512349869646065,52120 : -167850 : 115730,"4500,5657.3,6178.5","52120,-167850,115730"
