Long Strike,Short Strike,Net Credit,Max Profit,Max Loss,Cost-to-Profit Ratio
4500,4778.5,4831.129800000001,4831.129800000001,23018.870199999998,0
4500,5057.3,13011.2523,13011.2523,42718.747700000014,0
4500,5378.5,26396.907299999995,26396.907299999995,61453.09270000001,0
4500,5657.3,42657.9993,42657.9993,73072.0007,0
4500,5957.3,60703.8453,60703.8453,85026.15470000003,0
4500,6178.5,76374.97695,76374.97695,91475.02305,0
4500,6357.3,94316.81145299999,94316.81145299999,91413.18854700004,0
4778.5,5057.3,7373.905,7373.905,20506.09500000002,0
4778.5,5378.5,20759.56,20759.56,39240.44,0
4778.5,5657.3,37020.652,37020.652,50859.34800000001,0
4778.5,5957.3,55066.498,55066.498,62813.502000000015,0
4778.5,6178.5,70737.62965,70737.62965,69262.37035,0
4778.5,6357.3,88679.464153,88679.464153,69200.53584700004,0
5057.3,5378.5,12288.412,12288.412,19831.58799999998,0
5057.3,5657.3,28549.504,28549.504,31450.496,0
5057.3,5957.3,46595.35,46595.35,43404.65,0
5057.3,6178.5,62266.481649999994,62266.481649999994,49853.51834999999,0
5057.3,6357.3,80208.31615299999,80208.31615299999,49791.68384700001,0
5378.5,5657.3,14632.618,14632.618,13247.382000000018,0
5378.5,5957.3,32678.464,32678.464,25201.536000000015,0
5378.5,6178.5,48349.595649999996,48349.595649999996,31650.404350000004,0
5378.5,6357.3,66291.430153,66291.430153,31588.56984700002,0
5657.3,5957.3,16139.556,16139.556,13860.444,0
5657.3,6178.5,31810.687649999993,31810.687649999993,20309.312349999993,0
5657.3,6357.3,49752.522153,49752.522153,20247.477847000002,0
5957.3,6178.5,11641.287649999997,11641.287649999997,10478.712349999985,0
5957.3,6357.3,29583.122153,29583.122153,10416.877847,0
6178.5,6357.3,14456.072153,14456.072153,3423.927847000019,0
